,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N,,
,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in structures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Change in private inventories,Exports of goods and services,Imports of goods and services,Federal national defense: Consumption expenditures,Federal national defense: Gross investment in structures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national nondefense: Consumption expenditures,Federal national nondefense: Gross investment in structures,Federal national nondefense: Gross investment in equipment,Federal national nondefense: Gross investment in intellectual property products,State and local: Consumption expenditures,State and local: Gross investment in structures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,Total Final Uses (GDP),Total Commodity Output
331,Primary metals,94,---,11604,630,201,4,8244,352,2121,93498,90923,47439,4971,20681,58758,9767,4095,6650,2103,116,---,1195,27,10,40,2200,1001,9,---,0,626,---,806,---,---,---,---,123,---,9,8,402,1191,---,---,---,---,1,3392,177,---,0,2067,49,797,327,311,190,42,17,473,44,500,37,218,1062,300,1199,---,126,992,382223,1268,---,---,---,---,165,34167,-101074,---,---,---,---,---,---,---,---,---,---,---,---,-65474,316749
332,Fabricated metal products,1590,167,12055,1031,481,937,124632,3518,2442,6284,39465,24620,6313,11582,27333,14540,4560,4641,18264,584,81,5483,1048,1204,8514,8418,3663,553,243,187,1946,308,354,1185,2263,706,1602,297,1041,783,42,10458,3002,446,239,---,29,31,1061,2911,24,2971,7277,622,2800,3647,771,386,2195,31,3253,72,735,1787,4130,5165,6911,1595,260,4181,7222,419169,31617,---,13712,---,---,384,36050,-89621,---,---,176,---,---,---,152,---,---,---,109,---,-7422,411747
333,Machinery,2263,25,15515,4218,2616,622,46484,497,159,1248,4732,37275,333,2353,35122,4132,158,974,5816,41,2,1190,1490,52,5813,2739,3082,323,171,153,885,12,58,32,554,86,40,3065,1984,58,31,1099,1447,9,52,552,---,55,232,1482,20,2240,3257,439,5020,4876,2295,1262,1049,188,323,31,346,81,1108,6850,1379,519,36,5245,3292,231191,17842,---,294216,---,---,1866,109790,-233266,---,---,2003,---,---,---,101,---,---,---,10298,---,202850,434041
334,Computer and electronic products,23,0,90,18,79,95,8004,1336,753,2095,5903,7449,38629,4317,22549,28706,973,2251,3193,436,37,1019,1423,318,5230,2603,51409,1423,390,482,2132,6,45,0,241,2,4,47,135,3177,714,21938,10307,1027,1325,34,1315,1,329,266,1269,6935,11550,10657,5484,813,1576,9291,1178,167,597,26,199,350,207,3919,14169,6815,0,2124,1846,313446,115581,---,199699,---,98,-4756,96340,-398909,---,---,14732,---,---,---,1857,---,---,---,4150,---,28793,342239
335,"Electrical equipment, appliances, and components",5503,39,219,42,487,19,50500,417,134,1979,3410,17311,2364,13401,8306,1877,110,872,1628,60,3,541,108,134,1332,1005,2428,535,117,627,418,2,260,35,183,220,2,53,182,8,---,4587,317,151,82,74,---,6,825,540,0,3425,6261,83,1984,951,294,13,983,595,713,35,502,668,804,4860,3755,6095,87,1319,4285,161164,72835,---,52676,---,8953,-839,35004,-168788,---,---,726,---,---,---,106,---,---,---,700,---,1373,162537
3361MV,"Motor vehicles, bodies and trailers, and parts",961,65,1520,648,224,28,2451,1897,505,886,1200,10885,772,734,215733,3038,398,665,4058,60,1,1090,141,149,1164,613,9540,5600,1817,407,5870,---,55,---,6860,943,0,108,1533,143,104,1258,685,164,25,---,---,---,---,3413,---,112,3581,654,15905,1793,864,822,2551,166,3102,70,200,210,1925,11889,8864,270,3607,9280,1754,356027,274675,---,326109,---,---,20550,113251,-418772,---,---,13782,---,---,---,13648,---,---,---,49312,---,392555,748581
3364OT,Other transportation equipment,---,22,---,4,---,---,16,19,---,---,77,276,---,---,1186,90469,---,---,---,---,---,---,---,---,---,---,0,2,---,---,---,2206,1149,1020,56,222,---,2249,---,---,---,7,---,---,---,---,---,---,---,---,---,---,2549,89,91,109,---,---,---,---,0,---,247,---,---,12,68294,1003,3,0,148,171526,37109,---,72699,---,---,6852,106078,-57136,---,---,52455,---,---,---,2206,---,---,---,144,---,220407,391933
337,Furniture and related products,0,---,---,---,---,---,21133,247,0,---,---,202,106,1,21,13,3060,210,---,---,---,0,---,---,---,278,737,168,---,12,1468,---,---,0,---,---,---,0,---,1,---,100,378,---,---,---,---,2299,51,---,7,3,468,5,3,---,---,187,131,1,294,349,303,3,336,320,---,---,64,14,1688,34661,59678,---,30888,---,829,-1941,3847,-49357,---,---,0,---,---,---,2,---,---,---,590,---,44534,79195
339,Miscellaneous manufacturing,148,1,57,21,8,---,2202,20,64,29,57,1927,1,495,2161,19,6,4947,44,51,137,0,3,1,266,183,1056,325,118,6,817,0,1,---,8,21,0,83,102,3,2,89,85,62,40,14,---,0,220,73,7,14,2134,7,2157,361,339,19576,25709,455,1486,135,202,32,728,2245,1588,492,---,5456,82,79178,129341,---,52954,---,---,-1485,36260,-124903,---,---,44,---,---,---,9,---,---,---,739,---,92959,172137
311FT,Food and beverage and tobacco products,36049,106,---,---,---,---,---,24,568,6,---,---,---,---,---,---,---,34,187356,16,321,268,584,601,7030,188,3187,0,2724,956,1717,250,0,270,23,0,---,8,---,24,3,---,300,---,---,---,---,---,---,---,---,---,4685,89,1,---,4503,6,6532,4058,19141,1062,5586,6149,80195,1201,3520,116,647,98652,---,478758,783720,---,---,---,---,-929,75915,-145770,---,---,---,---,---,---,---,---,---,---,---,---,712936,1191694
