GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "10000","Delaware",2,CAEMP25N,2001,"...","   Federal civilian ","Number of jobs",5441,5497,5348,5408,5416,5385,5533,5689,5791,6156,5840,5629,5551,5536,5665,5667,5752,5692,5750,6046,5891,5980
 "10000","Delaware",2,CAEMP25N,2002,"...","   Military ","Number of jobs",9005,9262,9396,9033,8422,8032,8275,8378,8464,8674,8765,8974,9141,8928,8702,8601,8555,8616,8733,8967,8970,8696
 "10000","Delaware",2,CAEMP25N,2010,"...","   State and local ","Number of jobs",52438,52729,52921,53004,54470,56149,56679,57614,57364,58105,58188,59183,59452,59708,58970,59549,59407,59814,60693,59439,61155,61816
 "10000","Delaware",2,CAEMP25N,2011,"...","    State government ","Number of jobs",30114,30566,30392,29989,30595,32428,32658,33162,32555,32791,32483,33263,33358,33357,32319,32637,32286,32507,32877,32234,33365,32726
 "10000","Delaware",2,CAEMP25N,2012,"...","    Local government ","Number of jobs",22324,22163,22529,23015,23875,23721,24021,24452,24809,25314,25705,25920,26094,26351,26651,26912,27121,27307,27816,27205,27790,29090
 "10001","Kent, DE",2,CAEMP25N,10,"...","Total employment (number of jobs) ","Number of jobs",72004,73666,75127,78243,81732,83358,84924,84610,81630,81677,83870,84777,86581,87631,88470,90381,91843,94122,95276,95060,100564,104668
 "10001","Kent, DE",2,CAEMP25N,20,"..."," Wage and salary employment ","Number of jobs",62171,63447,64275,66626,69122,69873,70326,70194,66963,67360,68705,69500,71105,71896,72160,73114,73646,74120,75314,72548,74748,76681
 "10001","Kent, DE",2,CAEMP25N,40,"..."," Proprietors employment ","Number of jobs",9833,10219,10852,11617,12610,13485,14598,14416,14667,14317,15165,15277,15476,15735,16310,17267,18197,20002,19962,22512,25816,27987
 "10001","Kent, DE",2,CAEMP25N,50,"...","  Farm proprietors employment ","Number of jobs",757,689,641,628,626,614,675,679,681,716,722,735,728,728,736,719,704,701,685,694,693,693
 "10001","Kent, DE",2,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",9076,9530,10211,10989,11984,12871,13923,13737,13986,13601,14443,14542,14748,15007,15574,16548,17493,19301,19277,21818,25123,27294
 "10001","Kent, DE",2,CAEMP25N,70,"111-112"," Farm employment ","Number of jobs",1270,1196,1040,992,973,975,1021,976,956,1021,1040,1263,1219,1256,1258,1280,1204,1097,1035,982,1078,1033
 "10001","Kent, DE",2,CAEMP25N,80,"..."," Nonfarm employment ","Number of jobs",70734,72470,74087,77251,80759,82383,83903,83634,80674,80656,82830,83514,85362,86375,87212,89101,90639,93025,94241,94078,99486,103635
 "10001","Kent, DE",2,CAEMP25N,90,"...","  Private nonfarm employment ","Number of jobs",49200,50879,52399,55752,58840,60133,61274,60702,57815,57254,59264,59754,61545,62773,64033,65956,67611,69852,70643,70248,75403,79317
 "10001","Kent, DE",2,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "10001","Kent, DE",2,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "10001","Kent, DE",2,CAEMP25N,300,"22","   Utilities ","Number of jobs",(D),124,150,173,183,183,(D),219,(D),(D),(D),(D),(D),(D),(D),300,313,344,332,276,(D),(D)
 "10001","Kent, DE",2,CAEMP25N,400,"23","   Construction ","Number of jobs",4117,(D),(D),(D),(D),5967,5836,4799,4020,3771,3668,3605,4054,4297,4224,4304,4365,4423,4504,4574,4736,4673
 "10001","Kent, DE",2,CAEMP25N,500,"31-33","   Manufacturing ","Number of jobs",5805,(D),4588,4456,3929,3714,(D),3682,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "10001","Kent, DE",2,CAEMP25N,600,"42","   Wholesale trade ","Number of jobs",(D),1599,1815,1846,1874,2046,(D),1912,(D),(D),(D),(D),(D),(D),(D),1373,1366,1400,1448,1506,(D),1903
 "10001","Kent, DE",2,CAEMP25N,700,"44-45","   Retail trade ","Number of jobs",8200,8486,9333,10199,11117,11286,11536,11121,10372,10161,10401,10347,10323,10525,10500,10726,11262,11226,10955,10591,11086,11149
 "10001","Kent, DE",2,CAEMP25N,800,"48-49","   Transportation and warehousing ","Number of jobs",(D),1750,1801,2755,2854,3062,(D),2669,(D),(D),(D),(D),(D),(D),(D),3107,3298,3604,3941,4511,(D),(D)
 "10001","Kent, DE",2,CAEMP25N,900,"51","   Information ","Number of jobs",759,710,772,784,814,811,865,900,795,673,634,611,650,610,572,597,619,597,645,730,801,891
 "10001","Kent, DE",2,CAEMP25N,1000,"52","   Finance and insurance ","Number of jobs",(D),3019,2991,3090,3269,3176,2889,3121,3214,2934,3150,3273,3253,3205,3606,4011,4068,4835,4911,5170,6605,7730
 "10001","Kent, DE",2,CAEMP25N,1100,"53","   Real estate and rental and leasing ","Number of jobs",(D),1799,1915,2163,2493,2713,2994,3006,3011,2911,3142,3051,3062,3185,3212,3307,3391,3664,3619,3990,4494,5006
 "10001","Kent, DE",2,CAEMP25N,1200,"54","   Professional, scientific, and technical services ","Number of jobs",(D),(D),(D),(D),(D),(D),(D),2621,2476,2485,2465,2673,2882,2961,3074,3231,(D),(D),3359,3585,4029,4166
 "10001","Kent, DE",2,CAEMP25N,1300,"55","   Management of companies and enterprises ","Number of jobs",(D),(D),(D),(D),(D),(D),(D),231,249,253,291,300,337,368,397,520,(D),(D),688,905,899,941
 "10001","Kent, DE",2,CAEMP25N,1400,"56","   Administrative and support and waste management and remediation services ","Number of jobs",3163,3299,(D),2562,2669,2952,3205,3574,3171,3482,3183,3113,3182,3232,3165,3317,3861,3981,4012,4858,5254,5516
 "10001","Kent, DE",2,CAEMP25N,1500,"61","   Educational services ","Number of jobs",777,831,771,693,695,754,736,717,731,844,820,827,899,954,969,960,946,938,939,915,781,669
 "10001","Kent, DE",2,CAEMP25N,1600,"62","   Health care and social assistance ","Number of jobs",6041,6260,6539,6877,7705,7951,8582,8907,8968,8926,9102,9303,9726,9811,10405,10781,10684,11206,11648,11059,11254,11300
 "10001","Kent, DE",2,CAEMP25N,1700,"71","   Arts, entertainment, and recreation ","Number of jobs",(D),(D),3117,(D),3337,(D),2837,2920,2786,3252,3511,3553,3462,3647,3444,3495,3488,2296,2367,(D),2042,2131
 "10001","Kent, DE",2,CAEMP25N,1800,"72","   Accommodation and food services ","Number of jobs",(D),(D),4532,(D),4840,(D),5005,5280,5241,5310,5400,5542,5647,5778,5855,5919,5903,6990,7160,(D),6259,6808
 "10001","Kent, DE",2,CAEMP25N,1900,"81","   Other services (except government and government enterprises) ","Number of jobs",3486,3730,3924,4205,4444,4433,4689,4782,4591,4473,4495,4416,4362,4362,4484,4484,4319,4527,4590,4375,4564,4713
 "10001","Kent, DE",2,CAEMP25N,2000,"...","  Government and government enterprises ","Number of jobs",21534,21591,21688,21499,21919,22250,22629,22932,22859,23402,23566,23760,23817,23602,23179,23145,23028,23173,23598,23830,24083,24318
 "10001","Kent, DE",2,CAEMP25N,2001,"...","   Federal civilian ","Number of jobs",1699,1739,1654,1617,1752,1804,1798,1681,1742,1971,1994,1894,1801,1728,1741,1725,1680,1671,1678,1775,1776,1763
 "10001","Kent, DE",2,CAEMP25N,2002,"...","   Military ","Number of jobs",4528,4723,4718,4713,4372,4080,4171,4262,4299,4422,4408,4462,4541,4389,4190,4134,4255,4336,4461,4596,4566,4475
 "10001","Kent, DE",2,CAEMP25N,2010,"...","   State and local ","Number of jobs",15307,15129,15316,15169,15795,16366,16660,16989,16818,17009,17164,17404,17475,17485,17248,17286,17093,17166,17459,17459,17741,18080
 "10001","Kent, DE",2,CAEMP25N,2011,"...","    State government ","Number of jobs",10718,10689,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "10001","Kent, DE",2,CAEMP25N,2012,"...","    Local government ","Number of jobs",4589,4440,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "10003","New Castle, DE",2,CAEMP25N,10,"...","Total employment (number of jobs) ","Number of jobs",346542,340572,340924,347131,350641,354615,358620,359411,345649,341800,348533,350294,356870,363863,372094,376026,377841,383938,387091,377880,392302,411974
 "10003","New Castle, DE",2,CAEMP25N,20,"..."," Wage and salary employment ","Number of jobs",307050,299818,298361,301893,302934,304822,304724,304314,287772,284222,288089,290103,295253,301306,307260,308032,308529,310925,313986,295235,301127,312432
 "10003","New Castle, DE",2,CAEMP25N,40,"..."," Proprietors employment ","Number of jobs",39492,40754,42563,45238,47707,49793,53896,55097,57877,57578,60444,60191,61617,62557,64834,67994,69312,73013,73105,82645,91175,99542
 "10003","New Castle, DE",2,CAEMP25N,50,"...","  Farm proprietors employment ","Number of jobs",342,320,290,274,266,252,267,267,266,279,280,283,282,282,289,283,278,275,267,273,272,272
 "10003","New Castle, DE",2,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",39150,40434,42273,44964,47441,49541,53629,54830,57611,57299,60164,59908,61335,62275,64545,67711,69034,72738,72838,82372,90903,99270
 "10003","New Castle, DE",2,CAEMP25N,70,"111-112"," Farm employment ","Number of jobs",726,693,605,570,523,476,461,448,438,470,474,601,602,574,593,636,563,512,508,476,557,511
 "10003","New Castle, DE",2,CAEMP25N,80,"..."," Nonfarm employment ","Number of jobs",345816,339879,340319,346561,350118,354139,358159,358963,345211,341330,348059,349693,356268,363289,371501,375390,377278,383426,386583,377404,391745,411463
 "10003","New Castle, DE",2,CAEMP25N,90,"...","  Private nonfarm employment ","Number of jobs",308261,301808,302113,308577,312056,315487,319333,319390,305745,301252,308297,309327,315687,322612,331362,334883,336752,342699,345379,337023,350248,369889
